state,count,lat,lon
CA,5,34.44840034,-118.45679058
NY,5,41.19674422,-74.34300594
OH,4,40.909314075,-82.34806225
CO,3,40.38275023333333,-105.14572853333334
FL,2,27.1584317,-80.73791765
MO,2,38.9123294,-94.5915629
NJ,2,40.5204169,-74.4645303
PA,2,40.52549625,-77.660484
IA,1,42.0279608,-93.6447375
IL,1,40.1131564,-88.2247919
IN,1,40.0527759,-85.6695256
MA,1,42.3775925,-71.334121
MD,1,39.252377,-76.7089181
NC,1,35.9050353,-79.0477533
VA,1,38.9054445,-77.1276818
WI,1,42.5009819,-89.0157777
